Project,N° Iteration,Classifier,Feature Selection,Sampling,Cost Sensitive,Training %,Precision,Recall,AUC,Kappa,True Positive,False Positive,True Negative,False Negative
storm,8,NaiveBayes,No,No,No,79.88867731067819,0.04661325564457393,1.0,0.7040799274255156,0.0,64.0,1309.0,0.0,0.0
storm,8,IBk,No,No,No,79.88867731067819,0.14285714285714285,0.03125,0.7416682582123758,0.035137034434294154,2.0,12.0,1297.0,62.0
storm,8,RandomForest,Yes,No,No,79.88867731067819,0.2,0.015625,0.5342401165011459,0.022381159866945635,1.0,4.0,1305.0,63.0
storm,8,NaiveBayes,Yes,No,No,79.88867731067819,0.25,0.03125,0.6997588808250573,0.045670128383351376,2.0,6.0,1303.0,62.0
storm,8,IBk,Yes,No,No,79.88867731067819,0.23076923076923078,0.046875,0.7348644003055768,0.06317691265364184,3.0,10.0,1299.0,61.0
storm,8,RandomForest,Yes,SMOTE,No,80.47219456691793,0.16666666666666666,0.015625,0.5697992265087853,0.020746365715004426,1.0,5.0,1304.0,63.0
storm,8,NaiveBayes,Yes,SMOTE,No,80.47219456691793,0.0,0.0,0.6912600267379679,0.0,0.0,0.0,1309.0,64.0
storm,8,IBk,Yes,SMOTE,No,80.47219456691793,0.058823529411764705,0.015625,0.739967293735676,0.005227583297412881,1.0,16.0,1293.0,63.0
storm,8,RandomForest,Yes,UnderSampling,No,79.88867731067819,0.10377358490566038,0.171875,0.649422268907563,0.07568162589496104,11.0,95.0,1214.0,53.0
storm,8,NaiveBayes,Yes,UnderSampling,No,79.88867731067819,0.15,0.09375,0.5557319518716578,0.08248590853623093,6.0,34.0,1275.0,58.0
storm,8,IBk,Yes,UnderSampling,No,79.88867731067819,0.09917355371900827,0.1875,0.6520781608097784,0.07321909968681517,12.0,109.0,1200.0,52.0
storm,8,RandomForest,Yes,No,Yes,79.88867731067819,0.13333333333333333,0.03125,0.5488087280366692,0.033525110983885165,2.0,13.0,1296.0,62.0
storm,8,NaiveBayes,Yes,No,Yes,79.88867731067819,0.04661325564457393,1.0,0.6997588808250573,0.0,64.0,1309.0,0.0,0.0
storm,8,IBk,Yes,No,Yes,79.88867731067819,0.14285714285714285,0.046875,0.7348644003055768,0.04867695168264348,3.0,18.0,1291.0,61.0
storm,9,RandomForest,No,No,No,83.2560975609756,0.8095238095238095,0.2328767123287671,0.8401475237091676,0.34616971967364024,17.0,4.0,1296.0,56.0
storm,9,NaiveBayes,No,No,No,83.2560975609756,0.05316824471959213,1.0,0.6635142255005269,0.0,73.0,1300.0,0.0,0.0
storm,9,IBk,No,No,No,83.2560975609756,0.7241379310344828,0.2876712328767123,0.8888935721812434,0.39342620681530394,21.0,8.0,1292.0,52.0
storm,9,RandomForest,Yes,No,No,83.2560975609756,0.8095238095238095,0.2328767123287671,0.8547945205479452,0.34616971967364024,17.0,4.0,1296.0,56.0
storm,9,NaiveBayes,Yes,No,No,83.2560975609756,0.0,0.0,0.6637355110642782,0.0,0.0,0.0,1300.0,73.0
storm,9,IBk,Yes,No,No,83.2560975609756,0.7241379310344828,0.2876712328767123,0.8888619599578503,0.39342620681530394,21.0,8.0,1292.0,52.0
storm,9,RandomForest,Yes,SMOTE,No,83.78601794992915,0.7083333333333334,0.2328767123287671,0.8374710221285564,0.3329657533718399,17.0,7.0,1293.0,56.0
storm,9,NaiveBayes,Yes,SMOTE,No,83.78601794992915,0.0,0.0,0.6430242360379347,0.0,0.0,0.0,1300.0,73.0
storm,9,IBk,Yes,SMOTE,No,83.78601794992915,0.6774193548387096,0.2876712328767123,0.8877766069546892,0.3843316505865509,21.0,10.0,1290.0,52.0
storm,9,RandomForest,Yes,UnderSampling,No,83.2560975609756,0.13450292397660818,0.6301369863013698,0.7828082191780822,0.14693101836445405,46.0,296.0,1004.0,27.0
storm,9,NaiveBayes,Yes,UnderSampling,No,83.2560975609756,0.15789473684210525,0.0821917808219178,0.5303319283456269,0.0744135371625067,6.0,32.0,1268.0,67.0
storm,9,IBk,Yes,UnderSampling,No,83.2560975609756,0.1261904761904762,0.726027397260274,0.7586406743940991,0.13681325732777325,53.0,367.0,933.0,20.0
storm,9,RandomForest,Yes,No,Yes,83.2560975609756,0.37735849056603776,0.547945205479452,0.8600579557428872,0.4097598256119428,40.0,66.0,1234.0,33.0
storm,9,NaiveBayes,Yes,No,Yes,83.2560975609756,0.11607142857142858,0.1780821917808219,0.6637355110642782,0.08140440053355069,13.0,99.0,1201.0,60.0
storm,9,IBk,Yes,No,Yes,83.2560975609756,0.36607142857142855,0.5616438356164384,0.8887249736564805,0.4049349261317975,41.0,71.0,1229.0,32.0
storm,10,RandomForest,No,No,No,85.00933029234916,0.16666666666666666,0.1111111111111111,0.8096210706504824,0.12461581447331424,2.0,10.0,1418.0,16.0
storm,10,NaiveBayes,No,No,No,85.00933029234916,0.0125,1.0,0.8606442577030813,1.0503650018381554E-4,18.0,1422.0,6.0,0.0
storm,10,IBk,No,No,No,85.00933029234916,0.03225806451612903,0.05555555555555555,0.747510115157174,0.025466746967220406,1.0,30.0,1398.0,17.0
storm,10,RandomForest,Yes,No,No,85.00933029234916,0.1,0.05555555555555555,0.8174797696856521,0.06309808612439997,1.0,9.0,1419.0,17.0
storm,10,NaiveBayes,Yes,No,No,85.00933029234916,0.0,0.0,0.8640483971366324,-0.0035693039857157558,0.0,3.0,1425.0,18.0
storm,10,IBk,Yes,No,No,85.00933029234916,0.0625,0.1111111111111111,0.7609516028633676,0.06510372744138979,2.0,30.0,1398.0,16.0
storm,10,RandomForest,Yes,SMOTE,No,85.52117753079003,0.12,0.16666666666666666,0.7426276065981948,0.12689709194164342,3.0,22.0,1406.0,15.0
storm,10,NaiveBayes,Yes,SMOTE,No,85.52117753079003,0.2,0.1111111111111111,0.8261943666355431,0.1351674641148303,2.0,8.0,1420.0,16.0
storm,10,IBk,Yes,SMOTE,No,85.52117753079003,0.12195121951219512,0.2777777777777778,0.7999144102085278,0.15487010663422227,5.0,36.0,1392.0,13.0
storm,10,RandomForest,Yes,UnderSampling,No,85.00933029234916,0.026694045174537988,0.7222222222222222,0.7781279178338002,0.02815217665827587,13.0,474.0,954.0,5.0
storm,10,NaiveBayes,Yes,UnderSampling,No,85.00933029234916,0.044444444444444446,0.1111111111111111,0.7677987861811392,0.04653657882384656,2.0,43.0,1385.0,16.0
storm,10,IBk,Yes,UnderSampling,No,85.00933029234916,0.02032520325203252,0.5555555555555556,0.6731248054777467,0.015572116907584173,10.0,482.0,946.0,8.0
storm,10,RandomForest,Yes,No,Yes,85.00933029234916,0.04807692307692308,0.2777777777777778,0.7896825396825397,0.062061296823963816,5.0,99.0,1329.0,13.0
storm,10,NaiveBayes,Yes,No,Yes,85.00933029234916,0.15384615384615385,0.1111111111111111,0.8640483971366324,0.11984309481942142,2.0,11.0,1417.0,16.0
storm,10,IBk,Yes,No,Yes,85.00933029234916,0.02608695652173913,0.16666666666666666,0.7609516028633676,0.0241048369097339,3.0,112.0,1316.0,15.0
storm,11,RandomForest,No,No,No,86.79924412849816,0.25,0.11764705882352941,0.7640162271805274,0.15372359420926648,2.0,6.0,1444.0,15.0
